Date,Clicks,Impressions,CTR,Position
2025-03-11,71,2519,0.0282,35.01
2025-03-10,54,3047,0.0177,38.54
2025-03-09,42,3165,0.013300000000000001,35.75
2025-03-08,40,3233,0.0124,35.31
2025-03-07,54,2752,0.0196,34.51
2025-03-06,50,2654,0.018799999999999997,34.73
2025-03-05,50,2567,0.0195,38.58
2025-03-04,34,2425,0.013999999999999999,39.22
2025-03-03,44,2380,0.018500000000000003,37.02
2025-03-02,23,2719,0.0085,42.82
2025-03-01,15,2517,0.006,43.9
2025-02-28,31,2347,0.0132,41.41
2025-02-27,31,2480,0.0125,40.61
2025-02-26,38,2486,0.015300000000000001,43.73
2025-02-25,25,2381,0.0105,39.43
2025-02-24,31,1884,0.0165,34.54
2025-02-23,19,1877,0.0101,38.58
2025-02-22,21,1646,0.0128,37.72
2025-02-21,33,1693,0.0195,35.58
2025-02-20,32,1787,0.0179,38.25
2025-02-19,29,1551,0.0187,38.72
2025-02-18,24,1720,0.013999999999999999,34.9
2025-02-17,31,1844,0.0168,37.95
2025-02-16,17,1573,0.0108,39.21
2025-02-15,15,1658,0.009000000000000001,40.76
2025-02-14,28,1548,0.0181,42.53
2025-02-13,33,1534,0.0215,37.96
2025-02-12,29,1470,0.0197,37.41
2025-02-11,36,1604,0.022400000000000003,37.27
2025-02-10,36,1582,0.022799999999999997,39.09
2025-02-09,30,1750,0.0171,42.02
2025-02-08,14,1761,0.008,42.89
2025-02-07,26,1471,0.0177,40.3
2025-02-06,40,1450,0.0276,41.62
2025-02-05,26,1551,0.0168,43.41
2025-02-04,27,1371,0.0197,42.65
2025-02-03,28,1593,0.0176,42.35
2025-02-02,23,1958,0.011699999999999999,45.19
2025-02-01,16,1553,0.0103,44.45
2025-01-31,22,1489,0.0148,42.34
2025-01-30,31,1401,0.022099999999999998,40.68
2025-01-29,28,1586,0.0177,35.96
2025-01-28,30,1752,0.0171,33.99
2025-01-27,103,1920,0.0536,35.36
2025-01-26,19,1870,0.0102,36.12
2025-01-25,21,1673,0.0126,36.15
2025-01-24,22,1655,0.013300000000000001,36.78
2025-01-23,24,1565,0.015300000000000001,41.56
2025-01-22,23,1299,0.0177,40.22
2025-01-21,51,1329,0.0384,41.74
2025-01-20,28,1487,0.018799999999999997,45.56
2025-01-19,21,1643,0.0128,45.09
2025-01-18,13,1681,0.0077,42.69
2025-01-17,23,1446,0.0159,40.14
2025-01-16,23,1367,0.0168,37.61
2025-01-15,32,1437,0.0223,39.27
2025-01-14,37,1774,0.0209,43.43
2025-01-13,33,1788,0.018500000000000003,42.18
2025-01-12,16,1870,0.0086,43.79
2025-01-11,12,1648,0.0073,42.62
2025-01-10,26,1665,0.015600000000000001,42.52
2025-01-09,40,1558,0.025699999999999997,39.23
2025-01-08,29,2808,0.0103,27.41
2025-01-07,30,2915,0.0103,26.32
2025-01-06,29,4239,0.0068000000000000005,23.21
2025-01-05,19,3220,0.0059,27.17
2025-01-04,16,3156,0.0051,26.24
2025-01-03,23,3191,0.0072,32.29
2025-01-02,32,3046,0.0105,29.38
2025-01-01,14,2718,0.0052,26.97
2024-12-31,22,2433,0.009000000000000001,30.27
2024-12-30,28,2710,0.0103,27.57
2024-12-29,10,2911,0.0034000000000000002,26.08
2024-12-28,20,3027,0.0066,28.22
2024-12-27,24,2693,0.0089,33.03
2024-12-26,18,2478,0.0073,28.5
2024-12-25,3,1888,0.0016,31.67
2024-12-24,12,1582,0.0076,38.25
2024-12-23,15,1380,0.0109,47.35
2024-12-22,18,1555,0.0116,51.85
2024-12-21,14,1544,0.0091,50.72
2024-12-20,12,1575,0.0076,49.82
2024-12-19,23,1379,0.0167,48.45
2024-12-18,22,1412,0.015600000000000001,47.42
2024-12-17,22,1617,0.013600000000000001,50.67
2024-12-16,27,1737,0.0155,49.8
2024-12-15,11,1618,0.0068000000000000005,48.5
2024-12-14,18,1398,0.0129,45.95
2024-12-13,30,1609,0.018600000000000002,47.13
2024-12-12,30,1638,0.0183,41.57
2024-12-11,25,1746,0.0143,43.95
2024-12-10,25,1938,0.0129,47.57
2024-12-09,23,1880,0.012199999999999999,40.65
2024-12-08,15,1916,0.0078000000000000005,43.39
2024-12-07,12,1629,0.0074,46.28
2024-12-06,26,1551,0.0168,47.73
2024-12-05,22,1819,0.0121,47.86
2024-12-04,24,2102,0.011399999999999999,48.14
2024-12-03,27,1481,0.0182,46.67
2024-12-02,23,1580,0.0146,47.26
2024-12-01,23,1528,0.0151,52.1
2024-11-30,21,1127,0.018600000000000002,47.88
2024-11-29,20,1253,0.016,46.85
2024-11-28,14,1175,0.011899999999999999,54.69
2024-11-27,23,1254,0.0183,49.11
2024-11-26,20,1571,0.0127,48.83
2024-11-25,25,1959,0.0128,51.69
2024-11-24,15,1583,0.0095,50.16
2024-11-23,11,1353,0.008100000000000001,48.49
2024-11-22,28,1405,0.0199,51.08
2024-11-21,21,1216,0.0173,48.33
2024-11-20,22,1255,0.0175,48.13
2024-11-19,30,1344,0.0223,48.82
2024-11-18,30,1382,0.0217,49.12
2024-11-17,17,1458,0.011699999999999999,51.44
2024-11-16,16,1534,0.0104,52.46
2024-11-15,31,1649,0.018799999999999997,52.92
2024-11-14,22,1495,0.0147,46.34
2024-11-13,43,1625,0.0265,46.76
2024-11-12,30,1485,0.0202,46.79
2024-11-11,34,1391,0.024399999999999998,40.95
2024-11-10,19,1587,0.012,47.9
2024-11-09,18,1184,0.0152,47.42
2024-11-08,32,1088,0.0294,50.46
2024-11-07,28,1004,0.0279,52.07
2024-11-06,35,985,0.0355,47.03
2024-11-05,27,956,0.0282,50.18
2024-11-04,30,1070,0.027999999999999997,53.3
2024-11-03,18,1005,0.0179,55.12
2024-11-02,10,1007,0.009899999999999999,54.0
2024-11-01,21,1041,0.0202,55.3
2024-10-31,27,677,0.039900000000000005,50.17
2024-10-30,19,649,0.029300000000000003,50.64
2024-10-29,26,777,0.0335,51.19
2024-10-28,28,678,0.041299999999999996,52.12
2024-10-27,17,729,0.0233,60.33
2024-10-26,14,778,0.018000000000000002,64.96
2024-10-25,28,623,0.0449,53.47
2024-10-24,27,553,0.048799999999999996,46.68
2024-10-23,33,561,0.0588,49.27
2024-10-22,25,602,0.0415,48.47
2024-10-21,26,623,0.0417,49.17
2024-10-20,18,556,0.032400000000000005,56.62
2024-10-19,10,455,0.022000000000000002,54.07
2024-10-18,24,575,0.0417,48.99
2024-10-17,32,601,0.053200000000000004,54.63
2024-10-16,30,480,0.0625,44.63
2024-10-15,45,459,0.098,37.19
2024-10-14,40,482,0.083,44.74
2024-10-13,18,395,0.045599999999999995,42.67
2024-10-12,21,356,0.059000000000000004,47.54
2024-10-11,21,497,0.042300000000000004,47.44
2024-10-10,28,370,0.0757,37.71
2024-10-09,24,396,0.060599999999999994,35.24
2024-10-08,26,413,0.063,42.89
2024-10-07,16,366,0.0437,40.4
2024-10-06,10,314,0.0318,50.54
2024-10-05,13,320,0.0406,51.04
2024-10-04,27,375,0.07200000000000001,37.59
2024-10-03,24,337,0.0712,36.26
2024-10-02,18,410,0.043899999999999995,46.31
2024-10-01,30,450,0.0667,42.53
2024-09-30,29,358,0.081,35.23
2024-09-29,15,261,0.0575,45.57
2024-09-28,15,208,0.0721,36.14
2024-09-27,24,217,0.1106,29.13
2024-09-26,57,268,0.2127,27.32
2024-09-25,21,225,0.0933,23.74
2024-09-24,20,205,0.09759999999999999,25.0
2024-09-23,23,484,0.0475,15.44
2024-09-22,12,147,0.0816,34.45
2024-09-21,36,211,0.17059999999999997,39.0
2024-09-20,12,205,0.058499999999999996,30.69
2024-09-19,31,218,0.1422,23.46
2024-09-18,40,242,0.1653,28.51
2024-09-17,35,225,0.15560000000000002,25.6
2024-09-16,24,230,0.1043,26.95
2024-09-15,16,153,0.10460000000000001,32.27
2024-09-14,5,157,0.0318,32.23
2024-09-13,21,306,0.06860000000000001,12.1
2024-09-12,16,177,0.0904,16.53
2024-09-11,15,185,0.08109999999999999,20.08
2024-09-10,23,174,0.1322,20.82
2024-09-09,20,189,0.1058,25.61
2024-09-08,9,134,0.0672,37.46
2024-09-07,10,110,0.0909,25.32
2024-09-06,16,156,0.1026,21.92
2024-09-05,24,185,0.1297,30.76
2024-09-04,19,177,0.1073,23.9
2024-09-03,12,181,0.0663,23.41
2024-09-02,13,163,0.07980000000000001,28.33
2024-09-01,17,131,0.1298,24.54
2024-08-31,14,132,0.1061,19.61
2024-08-30,24,147,0.16329999999999997,15.42
2024-08-29,23,151,0.1523,8.35
2024-08-28,23,138,0.16670000000000001,6.86
2024-08-27,24,161,0.1491,7.84
2024-08-26,21,146,0.1438,8.55
2024-08-25,13,97,0.134,9.9
2024-08-24,14,123,0.11380000000000001,13.52
2024-08-23,31,193,0.1606,6.12
2024-08-22,27,157,0.172,11.53
2024-08-21,33,169,0.1953,6.56
2024-08-20,13,108,0.1204,10.84
2024-08-19,14,148,0.0946,9.75
2024-08-18,7,107,0.0654,15.55
2024-08-17,12,132,0.0909,13.68
2024-08-16,11,156,0.0705,15.78
2024-08-15,10,125,0.08,18.97
2024-08-14,18,130,0.13849999999999998,15.07
2024-08-13,16,142,0.1127,15.88
2024-08-12,15,146,0.1027,16.83
2024-08-11,5,112,0.0446,18.6
2024-08-10,11,116,0.09480000000000001,16.42
2024-08-09,8,124,0.0645,19.6
2024-08-08,10,124,0.0806,18.62
2024-08-07,14,141,0.0993,12.18
2024-08-06,16,183,0.0874,18.31
2024-08-05,16,124,0.129,9.27
2024-08-04,8,96,0.0833,14.41
2024-08-03,2,88,0.0227,15.16
2024-08-02,20,121,0.1653,15.56
2024-08-01,12,122,0.0984,20.0
2024-07-31,15,123,0.122,19.11
2024-07-30,22,170,0.1294,16.72
2024-07-29,20,137,0.146,14.18
2024-07-28,6,114,0.0526,22.87
2024-07-27,9,94,0.09570000000000001,17.15
2024-07-26,15,148,0.1014,17.16
2024-07-25,13,143,0.0909,12.52
2024-07-24,23,135,0.1704,10.87
2024-07-23,24,142,0.16899999999999998,8.39
2024-07-22,14,121,0.1157,12.32
2024-07-21,3,106,0.028300000000000002,8.96
2024-07-20,6,75,0.08,17.24
2024-07-19,9,94,0.09570000000000001,16.8
2024-07-18,13,122,0.1066,15.7
2024-07-17,7,151,0.0464,8.69
2024-07-16,15,130,0.11539999999999999,12.48
2024-07-15,12,159,0.0755,11.09
2024-07-14,1,77,0.013000000000000001,18.1
2024-07-13,7,85,0.0824,14.91
2024-07-12,11,102,0.10779999999999999,7.7
2024-07-11,8,115,0.0696,10.02
2024-07-10,9,129,0.0698,7.52
2024-07-09,10,112,0.08929999999999999,11.64
2024-07-08,17,111,0.1532,6.37
